OPEID CODE,COLLEGE NAME,CITY,STATE,ZIP,2/4 YR,EVDCode
125900,PALO VERDE COLLEGE,BLYTHE,CA,92225,2,1
126000,PALOMAR COLLEGE,SAN MARCOS,CA,92069,2,1
126100,PASADENA CITY COLLEGE,PASADENA,CA,91106,2,1
126600,LANEY COLLEGE,OAKLAND,CA,94607,2,1
126700,MERRITT COLLEGE,OAKLAND,CA,94619,2,1
126800,PORTERVILLE COLLEGE,PORTERVILLE,CA,93257,2,1
126900,RIO HONDO COLLEGE,WHITTIER,CA,90608,2,1
127000,RIVERSIDE CMTY COLLEGE,RIVERSIDE,CA,92506,2,1
127200,SAN BERNARDINO VALLEY COL,SN BERNRDNO,CA,92410,2,1
127300,SAN DIEGO CITY COLLEGE,SAN DIEGO,CA,92101,2,1
127500,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,92111,2,1
128000,SAN JOAQUIN DELTA COLLEGE,STOCKTON,CA,95207,2,1
128200,SAN JOSE CITY COLLEGE,SAN JOSE,CA,95128,2,1
128400,SANTA ANA COLLEGE,SANTA ANA,CA,92706,2,1
128401,SANTIAGO CANYON COLLEGE,ORANGE,CA,92869,2,1
128500,SANTA BARBARA CITY COLLEG,SANTA BARBR,CA,93109,2,1
128600,SANTA MONICA COLLEGE,SNTA MONICA,CA,90405,2,1
128700,SANTA ROSA JR COLLEGE,SANTA ROSA,CA,95401,2,1
128900,SHASTA COLLEGE,REDDING,CA,96049,2,1
129000,SIERRA COLLEGE,ROCKLIN,CA,95677,2,1
129200,SOLANO CMTY COLLEGE,SUISUN CITY,CA,94585,2,1
129400,SOUTHWSTRN COLLEGE CA,CHULA VISTA,CA,92010,2,1
130700,FRESNO CITY COLLEGE,FRESNO,CA,93741,2,1
130800,REEDLEY COLLEGE,REEDLEY,CA,93654,2,1
130900,TAFT COLLEGE,TAFT,CA,93268,2,1
133400,VENTURA COLLEGE,VENTURA,CA,93003,2,1
133500,VICTOR VALLEY COLLEGE,VICTORVILLE,CA,92392,2,1
133800,WEST VALLEY COLLEGE,SARATOGA,CA,95070,2,1
134400,YUBA COLLEGE,MARYSVILLE,CA,95901,2,1
448000,DE ANZA COLLEGE,CUPERTINO,CA,95014,2,1
448100,OHLONE COLLEGE,FREMONT,CA,94539,2,1
450200,CITY COLLEGE SAN FRANCISC,SAN FRNCSCO,CA,94112,2,1
672000,COLL ALAMEDA,ALAMEDA,CA,94501,2,1
697300,CANADA COLLEGE,REDWOOD CTY,CA,94061,2,1
704700,LOS ANGELES SOUTHWEST COL,LOS ANGELES,CA,90047,2,1
711500,MOORPARK COLLEGE,MOORPARK,CA,93021,2,1
723400,HEALD COLL SAN FRANCISCO,SN FRANCSCO,CA,94105,2,1
747700,HEALD COLL SACRAMENTO,RANCHO CORDOVA,CA,95670,2,1
753600,COSUMNES RIVER COLLEGE,SACRAMENTO,CA,95823,2,1
770700,COLUMBIA COLLEGE COLUMBIA,SONORA,CA,95370,2,1
771300,SKYLINE COLLEGE,SAN BRUNO,CA,94066,2,1
807300,BUTTE COLLEGE,OROVILLE,CA,95965,2,1
809300,HEALD COLL FRESNO,FRESNO,CA,93704,2,1
853200,HEALD COLL HAYWARD,HAYWARD,CA,94545,2,1
859600,WEST LOS ANGELES COLLEGE,CULVER CITY,CA,90230,2,1
859700,FEATHER RIVER CMTY COLLEG,QUINCY,CA,95971,2,1
890300,COLL OF THE CANYONS,SANTA CLARITA,CA,91355,2,1
891800,SADDLEBACK COLLEGE,MISSION VJO,CA,92692,2,1
927200,CRAFTON HILLS COLLEGE,YUCAIPA,CA,92399,2,1
1011100,CERRO COSO CMTY COLLEGE,RIDGECREST,CA,93555,2,1
1034000,LOS MEDANOS COLLEGE,PITTSBURG,CA,94565,2,1
1047400,MARYMOUNT COLLEGE CA,RNCHO PL VD,CA,90275,2,1
1124600,BROOKS COLLEGE,LONG BEACH,CA,90804,2,1
1167200,MENDOCINO COLLEGE,UKIAH,CA,95482,2,1
1182000,SAN DIEGO MIRAMAR COLLEGE,SAN DIEGO,CA,92126,2,1
1245200,EVERGREEN VALLEY COL,SAN JOSE,CA,95135,2,1
1245201,EVERGREEN VALLEY COLLEGE,SAN JOSE,CA,95135,2,1
1255000,LOS ANGELES MISSION COLLE,SYLMAR,CA,91342,2,1
1284200,OXNARD COLLEGE,OXNARD,CA,93030,2,1
1287301,EVEREST COLLEGE,LAS ANGELES,CA,90034,2,1
1290700,LAKE TAHOE CMTY COLLEGE,S LK TAHOE,CA,96150,2,1
1411100,HEALD COLL CONCORD,CONCORD,CA,94520,2,1
2052300,UNIV WEST LOS ANGELES,INGLEWOOD,CA,90301,2,1
2063500,COASTLINE CMTY COLLEGE,FOUNTN VLY,CA,92708,2,1
2111300,CUYAMACA COLLEGE,EL CAJON,CA,92019,2,1
2119100,MISSION COLLEGE,SANTA CLARA,CA,95054,2,1
2120700,SAN JOAQUIN VALLEY COLLEG,VISALIA,CA,93291,2,1
2120704,SAN JOAQUIN VALLEY COLL,RANCH CUCAMONGA,CA,91730,2,1
